id,country_id,state_name,state_code,state_initial,active,reason
823,110,Umbria,0,,1,NULL
824,110,Veneto,0,,1,NULL
825,112,St. Andrew,0,,1,NULL
826,112,St. Catherine,0,,1,NULL
827,113,al-Zarqa,0,,1,NULL
828,113,Amman,0,,1,NULL
829,113,Irbid,0,,1,NULL
830,114,Aichi,0,,1,NULL
831,114,Akita,0,,1,NULL
832,114,Aomori,0,,1,NULL
833,114,Chiba,0,,1,NULL
834,114,Ehime,0,,1,NULL
835,114,Fukui,0,,1,NULL
836,114,Fukuoka,0,,1,NULL
837,114,Fukushima,0,,1,NULL
838,114,Gifu,0,,1,NULL
839,114,Gumma,0,,1,NULL
840,114,Hiroshima,0,,1,NULL
841,114,Hokkaido,0,,1,NULL
842,114,Hyogo,0,,1,NULL
843,114,Ibaragi,0,,1,NULL
844,114,Ishikawa,0,,1,NULL
845,114,Iwate,0,,1,NULL
846,114,Kagawa,0,,1,NULL
847,114,Kagoshima,0,,1,NULL
848,114,Kanagawa,0,,1,NULL
849,114,Kochi,0,,1,NULL
850,114,Kumamoto,0,,1,NULL
851,114,Kyoto,0,,1,NULL
852,114,Mie,0,,1,NULL
853,114,Miyagi,0,,1,NULL
854,114,Miyazaki,0,,1,NULL
855,114,Nagano,0,,1,NULL
856,114,Nagasaki,0,,1,NULL
857,114,Nara,0,,1,NULL
858,114,Niigata,0,,1,NULL
859,114,Oita,0,,1,NULL
860,114,Okayama,0,,1,NULL
861,114,Okinawa,0,,1,NULL
862,114,Osaka,0,,1,NULL
863,114,Saga,0,,1,NULL
864,114,Saitama,0,,1,NULL
865,114,Shiga,0,,1,NULL
866,114,Shimane,0,,1,NULL
867,114,Shizuoka,0,,1,NULL
868,114,Tochigi,0,,1,NULL
869,114,Tokushima,0,,1,NULL
870,114,Tokyo-to,0,,1,NULL
871,114,Tottori,0,,1,NULL
872,114,Toyama,0,,1,NULL
873,114,Wakayama,0,,1,NULL
874,114,Yamagata,0,,1,NULL
875,114,Yamaguchi,0,,1,NULL
876,114,Yamanashi,0,,1,NULL
877,125,Almaty,0,,1,NULL
878,125,Almaty Qalasy,0,,1,NULL
880,125,Astana,0,,1,NULL
881,125,Atyrau,0,,1,NULL
882,125,East Kazakstan,0,,1,NULL
883,125,Mangghystau,0,,1,NULL
884,125,North Kazakstan,0,,1,NULL
885,125,Pavlodar,0,,1,NULL
886,125,Qaraghandy,0,,1,NULL
887,125,Qostanay,0,,1,NULL
888,125,Qyzylorda,0,,1,NULL
889,125,South Kazakstan,0,,1,NULL
890,125,Taraz,0,,1,NULL
891,125,West Kazakstan,0,,1,NULL
892,115,Central,0,,1,NULL
893,115,Coast,0,,1,NULL
894,115,Eastern,0,,1,NULL
895,115,Nairobi,0,,1,NULL
896,115,Nyanza,0,,1,NULL
897,115,Rift Valley,0,,1,NULL
898,116,Bishkek shaary,0,,1,NULL
899,116,Osh,0,,1,NULL
900,117,Battambang,0,,1,NULL
901,117,Phnom Penh,0,,1,NULL
902,117,Siem Reap,0,,1,NULL
903,118,South Tarawa,0,,1,NULL
904,120,St George Basseterre,0,,1,NULL
905,122,Cheju,0,,1,NULL
906,122,Chollabuk,0,,1,NULL
907,122,Chollanam,0,,1,NULL
908,122,Chungchongbuk,0,,1,NULL
909,122,Chungchongnam,0,,1,NULL
910,122,Inchon,0,,1,NULL
911,122,Kang-won,0,,1,NULL
912,122,Kwangju,0,,1,NULL
913,122,Kyonggi,0,,1,NULL
914,122,Kyongsangbuk,0,,1,NULL
915,122,Kyongsangnam,0,,1,NULL
916,122,Pusan,0,,1,NULL
917,122,Seoul,0,,1,NULL
918,122,Taegu,0,,1,NULL
919,122,Taejon,0,,1,NULL
920,123,al-Asima,0,,1,NULL
921,123,Hawalli,0,,1,NULL
922,126,Savannakhet,0,,1,NULL
923,126,Viangchan,0,,1,NULL
924,127,al-Shamal,0,,1,NULL
925,127,Beirut,0,,1,NULL
926,131,Montserrado,0,,1,NULL
927,136,al-Zawiya,0,,1,NULL
928,136,Bengasi,0,,1,NULL
929,136,Misrata,0,,1,NULL
930,136,Tripoli,0,,1,NULL
931,128,Castries,0,,1,NULL
932,129,Schaan,0,,1,NULL
933,129,Vaduz,0,,1,NULL
934,130,Central,0,,1,NULL
935,130,Northern,0,,1,NULL
936,130,Western,0,,1,NULL
937,132,Maseru,0,,1,NULL
938,133,Kaunas,0,,1,NULL
939,133,Klaipeda,0,,1,NULL
940,133,Panevezys,0,,1,NULL
941,133,Vilna,0,,1,NULL
944,135,Daugavpils,0,,1,NULL
945,135,Liepaja,0,,1,NULL
946,135,Riika,0,,1,NULL
947,148,Macau,0,,1,NULL
948,137,Casablanca,0,,1,NULL
949,137,Chaouia-Ouardigha,0,,1,NULL
950,137,Doukkala-Abda,0,,1,NULL
953,137,Marrakech-Tensift-Al,0,,1,NULL
955,137,Oriental,0,,1,NULL
958,137,Tadla-Azilal,0,,1,NULL
960,137,Taza-Al Hoceima-Taou,0,,1,NULL
962,139,Balti,0,,1,NULL
964,139,Chisinau,0,,1,NULL
965,139,Dnjestria,0,,1,NULL
966,142,Antananarivo,0,,1,NULL
967,142,Fianarantsoa,0,,1,NULL
968,142,Mahajanga,0,,1,NULL
969,142,Toamasina,0,,1,NULL
970,155,Maale,0,,1,NULL
971,157,Aguascalientes,0,,1,NULL
972,157,Baja California,0,,1,NULL
973,157,Baja California Sur,0,,1,NULL
974,157,Campeche,0,,1,NULL
975,157,Chiapas,0,,1,NULL
976,157,Chihuahua,0,,1,NULL
977,157,Coahuila de Zaragoza,0,,1,NULL
978,157,Colima,0,,1,NULL
979,157,Distrito Federal,0,,1,NULL
980,157,Durango,0,,1,NULL
981,157,Guanajuato,0,,1,NULL
982,157,Guerrero,0,,1,NULL
983,157,Hidalgo,0,,1,NULL
984,157,Jalisco,0,,1,NULL
987,157,Morelos,0,,1,NULL
988,157,Nayarit,0,,1,NULL
990,157,Oaxaca,0,,1,NULL
991,157,Puebla,0,,1,NULL
996,157,Sinaloa,0,,1,NULL
997,157,Sonora,0,,1,NULL
998,157,Tabasco,0,,1,NULL
999,157,Tamaulipas,0,,1,NULL
1000,157,Veracruz,0,,1,NULL
1003,157,Zacatecas,0,,1,NULL
